City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,san antonio de pale,-1.4014,5.6325,25.02,83,100,5.71,GQ,1686412677
83,boyolangu,-8.1181,111.8935,23.94,92,66,1.68,ID,1686412677
84,saint-philippe,-21.3585,55.7679,24.77,83,58,5.5,RE,1686412677
85,olonkinbyen,70.9221,-8.7187,1.95,99,100,5.98,SJ,1686412678
86,tofol,5.3248,163.0078,27.61,78,98,5.6,FM,1686412678
87,hadibu,12.65,54.0333,29.05,77,79,7.84,YE,1686412408
88,magong,23.5654,119.5863,26.58,85,100,2.22,TW,1686412678
89,constantia,44.1833,28.65,21.5,80,100,3.14,RO,1686412678
90,azul,-36.777,-59.8585,11.67,39,35,7.05,AR,1686412678
91,bhamo,24.2667,97.2333,24.27,95,96,0.79,MM,1686412678
92,harper,4.375,-7.7169,25.94,86,100,5.13,LR,1686412678
93,tazovsky,67.4667,78.7,9.2,48,68,3.13,RU,1686412678
94,papatowai,-46.5619,169.4708,6.15,60,61,2.63,NZ,1686412679
95,arraial do cabo,-22.9661,-42.0278,28.98,54,0,2.06,BR,1686412679
96,itigi,-5.7,34.4833,22.23,43,43,2.47,TZ,1686412679
97,dryden,49.7833,-92.7503,13.16,58,20,3.6,CA,1686412679
98,puerto deseado,-47.7503,-65.8938,5.13,68,86,12.38,AR,1686412679
99,mamou,10.5,-12.0,26.16,77,56,2.75,GN,1686412679
100,belomorsk,64.5232,34.7668,8.84,56,75,3.43,RU,1686412679
101,iskateley,67.6803,53.1512,5.14,64,100,8.93,RU,1686412679
102,puerto leguizamo,-0.1934,-74.7819,31.11,57,43,1.21,CO,1686412681
103,hashtrud,37.4779,47.0508,19.43,55,94,2.58,IR,1686412681
104,wailua homesteads,22.0669,-159.378,21.59,91,100,0.45,US,1686412681
105,naracoorte,-36.9579,140.7383,11.05,87,97,3.15,AU,1686412681
106,changling,44.2653,124.0005,15.5,66,99,1.38,CN,1686412681
107,tura,25.5198,90.2201,24.18,94,100,1.84,IN,1686412681
108,lugovoye,42.9094,72.7178,22.23,66,100,2.39,KZ,1686412681
109,tsetserleg,47.475,101.4542,10.93,92,80,2.51,MN,1686412681
110,enewetak,11.3474,162.3373,28.02,79,99,6.04,MH,1686412682
111,bilibino,68.0546,166.4372,14.05,48,17,0.55,RU,1686412682
112,roma,43.2128,-75.4557,20.38,76,20,2.68,US,1686412478
113,tottori,35.5,134.2333,19.61,87,100,3.17,JP,1686412384
114,omdurman,15.6445,32.4777,36.02,28,90,7.61,SD,1686412682
115,saipan,15.1355,145.701,28.39,100,20,2.57,MP,1686412682
116,pokhara,28.2333,83.9833,28.47,41,96,1.72,NP,1686412623
117,parral,26.9333,-105.6667,25.95,19,0,2.7,MX,1686412521
118,happy valley-goose bay,53.3168,-60.3315,15.17,67,40,2.57,CA,1686412682
119,sao francisco de assis,-29.5503,-55.1311,20.67,79,97,2.98,BR,1686412682
120,ostersund,63.1792,14.6357,21.45,32,0,3.6,SE,1686412683
121,st. john's,47.5649,-52.7093,10.71,97,100,2.57,CA,1686412660
122,ghadamis,30.1337,9.5007,43.35,9,27,3.33,LY,1686412683
123,stanley,54.868,-1.6985,23.19,67,0,5.14,GB,1686412670
124,tolanaro,-25.0319,46.9987,23.04,88,20,2.06,MG,1686412683
125,whitecourt,54.1502,-115.6855,20.58,60,75,3.6,CA,1686412683
126,sakchu-up,40.3894,125.0467,14.05,97,100,1.72,KP,1686412683
127,buka,40.8108,69.1986,29.63,30,3,2.72,UZ,1686412683
128,gorontalo,0.5412,123.0595,24.34,94,23,1.05,ID,1686412683
129,waterloo,43.4668,-80.5164,24.77,44,75,3.09,CA,1686412684
130,ribeira grande,38.5167,-28.7,21.22,56,20,6.17,PT,1686412684
131,port alfred,-33.5906,26.891,14.54,76,1,2.81,ZA,1686412684
132,djenne,13.9061,-4.5533,41.13,19,28,3.83,ML,1686412684
133,anadyr,64.75,177.4833,3.28,74,0,0.0,RU,1686412684
134,juneau,58.3019,-134.4197,11.79,94,75,1.54,US,1686412684
135,weno,7.4515,151.8468,26.75,86,100,6.02,FM,1686412684
136,laguna,38.421,-121.4238,16.86,79,0,3.09,US,1686412684
137,trairi,-3.2778,-39.2689,29.28,66,38,5.55,BR,1686412685
138,belyy yar,53.6039,91.3903,18.94,88,40,0.0,RU,1686412685
139,youkounkoun,12.5333,-13.1333,41.1,24,59,2.34,GN,1686412685
140,jamestown,42.097,-79.2353,23.34,48,0,5.14,US,1686412600
141,khandyga,62.6667,135.6,11.91,61,100,1.48,RU,1686412685
142,patterson,37.4716,-121.1297,16.66,52,100,1.3,US,1686412685
143,kupino,54.3663,77.2981,17.37,52,68,1.85,RU,1686412685
144,kavaratti,10.5669,72.642,29.7,77,94,9.08,IN,1686412685
145,fernie,49.5,-115.0687,18.05,72,93,1.17,CA,1686412685
146,pisco,-13.7,-76.2167,21.03,73,100,3.6,PE,1686412685
147,dudinka,69.4058,86.1778,5.9,48,4,2.56,RU,1686412686
148,san juan de uraba,8.7592,-76.5297,29.14,79,85,3.96,CO,1686412686
149,xinyuan,37.3,99.0,5.33,85,100,3.25,CN,1686412686
150,alofi,-19.0595,-169.9187,23.94,94,26,3.09,NU,1686412686
151,west island,-12.1568,96.8225,25.99,83,40,8.54,CC,1686412686
152,lebu,-37.6167,-73.65,10.64,63,55,5.58,CL,1686412686
153,fale old settlement,-9.3852,-171.2468,28.4,81,74,7.36,TK,1686412686
154,bamboo flat,11.7,92.7167,27.73,85,100,7.54,IN,1686412480
155,turpan,42.9333,89.1667,38.53,10,0,1.1,CN,1686412686
156,nova sintra,14.8667,-24.7167,22.39,82,5,7.16,CV,1686412687
157,queenstown,-31.8976,26.8753,9.72,37,0,1.48,ZA,1686412687
158,isla mujeres,21.2311,-86.731,30.65,69,43,3.63,MX,1686412687
159,suntar,62.1444,117.6319,20.12,50,9,3.52,RU,1686412687
160,linfen,36.0889,111.5189,26.76,20,42,0.36,CN,1686412687
161,keflavik,64.0049,-22.5624,8.95,57,20,8.23,IS,1686412440
162,traralgon,-38.1833,146.5333,9.68,81,96,0.82,AU,1686412628
163,lihue,21.9789,-159.3672,21.92,91,100,4.86,US,1686412687
164,vokhtoga,58.8147,41.0461,9.43,53,68,3.26,RU,1686412687
165,essaouira,31.5125,-9.77,25.72,70,40,7.2,MA,1686412687
166,mogocha,53.7333,119.7667,11.33,84,8,0.83,RU,1686412688
167,nagqu,31.5,92.0,3.42,90,94,4.35,CN,1686412688
168,invercargill,-46.4,168.35,4.85,86,84,2.47,NZ,1686412688
169,pavullo nel frignano,44.3315,10.835,19.83,90,81,0.41,IT,1686412688
170,cabo san lucas,22.8909,-109.9124,33.12,52,5,5.21,MX,1686412561
171,grand falls-windsor,48.9332,-55.6649,6.39,94,100,2.68,CA,1686412688
172,barra de santo antonio,-9.4047,-35.5072,28.6,66,35,3.84,BR,1686412688
173,port isabel,26.0734,-97.2086,32.79,69,40,6.17,US,1686412688
174,port-saint-louis-du-rhone,43.3833,4.8,28.38,54,20,7.2,FR,1686412689
175,thompson,55.7435,-97.8558,18.09,42,40,3.6,CA,1686412689
176,tiksi,71.6872,128.8694,3.27,73,20,4.22,RU,1686412689
177,pasni,25.2631,63.471,29.03,81,12,3.86,PK,1686412689
178,inda silase,14.1031,38.2829,19.52,70,98,3.03,ET,1686412689
179,laojunmiao,39.8333,97.7333,21.65,18,86,2.81,CN,1686412689
180,lompoc,34.6391,-120.4579,16.55,84,100,3.09,US,1686412689
181,at taj,24.2049,23.2857,34.68,17,0,4.94,LY,1686412689
182,aasiaat,68.7098,-52.8699,3.62,83,100,13.26,GL,1686412690
183,kapuskasing,49.4169,-82.4331,9.05,76,100,6.17,CA,1686412690
184,walvis bay,-22.9575,14.5053,18.53,59,0,4.12,NA,1686412690
185,touros,-5.1989,-35.4608,29.63,62,27,6.71,BR,1686412690
186,talnakh,69.4865,88.3972,5.67,60,3,2.87,RU,1686412690
187,falenki,58.3613,51.5946,9.35,63,71,3.02,RU,1686412690
188,saryozek,44.3583,77.9753,23.54,45,84,4.02,KZ,1686412690
189,byron bay,-28.65,153.6167,10.39,81,50,0.85,AU,1686412690
190,serdar,38.9764,56.2757,30.73,21,81,3.51,TM,1686412691
191,punta arenas,-53.15,-70.9167,4.06,75,0,9.26,CL,1686412691
192,port elizabeth,-33.918,25.5701,15.17,86,1,0.89,ZA,1686412691
193,entebbe,0.0644,32.4469,24.18,64,20,2.06,UG,1686412691
194,gizo,-8.103,156.8419,27.37,78,86,1.78,SB,1686412691
195,ola,59.5833,151.2833,5.62,94,45,1.71,RU,1686412691
196,malyye derbety,47.9547,44.6808,26.25,36,100,5.02,RU,1686412691
197,corner brook,48.9667,-57.9484,7.09,96,100,1.83,CA,1686412691
198,naze,28.3667,129.4833,24.51,88,100,2.94,JP,1686412691
199,vorgashor,67.5833,63.95,9.45,76,100,5.67,RU,1686412692
200,san-pedro,4.7485,-6.6363,25.37,89,92,4.19,CI,1686412692
201,birzebbuga,35.8258,14.5269,22.38,78,100,5.66,MT,1686412692
202,utrik,11.2278,169.8474,27.59,84,100,7.37,MH,1686412692
203,ust-nera,64.5667,143.2,10.93,86,54,2.1,RU,1686412692
204,chonchi,-42.6128,-73.8092,8.95,79,71,2.42,CL,1686412692
205,sassandra,4.95,-6.0833,24.76,93,92,4.88,CI,1686412692
206,kone,-21.0595,164.8658,18.12,85,14,2.07,NC,1686412692
207,parras de la fuente,25.4167,-102.1833,27.35,37,7,0.88,MX,1686412693
208,ma'rib,15.4591,45.3253,35.63,10,84,6.11,YE,1686412693
209,uray,60.1247,64.7758,14.54,69,97,3.28,RU,1686412693
210,san patricio,28.017,-97.5169,32.71,50,1,4.74,US,1686412693
211,nizhneudinsk,54.9076,99.0276,18.51,93,72,1.56,RU,1686412693
212,atafu village,-8.5421,-172.5159,28.64,79,65,7.52,TK,1686412693
213,benguela,-12.5763,13.4055,23.93,75,20,3.68,AO,1686412693
214,vilyuysk,63.7553,121.6247,21.7,46,87,5.1,RU,1686412693
215,bay city,43.5945,-83.8889,25.62,40,0,4.63,US,1686412456
216,tchintabaraden,15.8969,5.7985,40.07,19,94,2.79,NE,1686412693
217,miles city,46.4083,-105.8406,18.54,77,75,5.14,US,1686412694
218,puerto madero,14.7208,-92.4215,29.02,74,100,0.6,MX,1686412694
219,altai,46.3722,96.2583,16.61,37,11,1.97,MN,1686412694
220,nantucket,41.2835,-70.0995,20.03,72,40,3.09,US,1686412694
221,san angelo,31.4638,-100.437,31.69,59,0,4.02,US,1686412432
222,nawanshahr,31.1167,76.1333,32.77,23,35,5.59,IN,1686412694
